game_id,season,home_team,away_team,season_type,week,game_date,home_score,away_score,result,home_win,home_elo_rating,away_elo_rating
1999_04_JAX_PIT,1999,PIT,JAX,REG,4,1999-10-03,3,17,-14,0,1500.8964955414713,1520.5660170928122
1999_04_KC_SD,1999,LAC,KC,REG,4,1999-10-03,21,14,7,1,1510.329346199297,1499.6794047622159
1999_04_NE_CLE,1999,CLE,NE,REG,4,1999-10-03,7,19,-12,0,1457.3790964871991,1542.3084016589526
1999_04_NO_CHI,1999,CHI,NO,REG,4,1999-10-03,14,10,4,1,1500.321319697385,1490.8618030473372
1999_04_NYJ_DEN,1999,DEN,NYJ,REG,4,1999-10-03,13,21,-8,0,1459.4245139006507,1479.4419605323988
1999_04_OAK_SEA,1999,SEA,LV,REG,4,1999-10-03,22,21,1,1,1518.808921350052,1499.4081982321077
1999_04_PHI_NYG,1999,NYG,PHI,REG,4,1999-10-03,16,15,1,1,1500.6084752746244,1458.8330104362703
1999_04_STL_CIN,1999,CIN,LA,REG,4,1999-10-03,10,38,-28,0,1458.5495595544483,1521.762470113365
1999_04_TB_MIN,1999,MIN,TB,REG,4,1999-10-03,21,14,7,1,1500.0170249174655,1501.1495477780727
1999_04_TEN_SF,1999,SF,TEN,REG,4,1999-10-03,24,22,2,1,1518.7999682460845,1521.183481614068
1999_05_ATL_NO,1999,NO,ATL,REG,5,1999-10-10,17,20,-3,0,1481.8065827419948,1466.993821996232
1999_05_BAL_TEN,1999,TEN,BAL,REG,5,1999-10-10,14,11,3,1,1531.4792872192352,1500.607337480879
1999_05_CHI_MIN,1999,MIN,CHI,REG,5,1999-10-10,22,24,-2,0,1490.0082666119035,1510.330078002947
1999_05_CIN_CLE,1999,CLE,CIN,REG,5,1999-10-10,17,18,-1,0,1447.3454079795135,1468.5832480621339
1999_05_DAL_PHI,1999,PHI,DAL,REG,5,1999-10-10,13,10,3,1,1466.772774492323,1523.5125293937685
1999_05_DEN_OAK,1999,LV,DEN,REG,5,1999-10-10,13,16,-3,0,1490.5539674720417,1468.2787446607167
1999_05_JAX_NYJ,1999,NYJ,JAX,REG,5,1999-10-11,6,16,-10,0,1468.2638119247215,1531.7441657004895
1999_05_MIA_IND,1999,IND,MIA,REG,5,1999-10-10,31,34,-3,0,1499.687655410171,1520.2875324926522
1999_05_NE_KC,1999,KC,NE,REG,5,1999-10-10,16,14,2,1,1508.4585637798525,1533.529242641316
1999_05_NYG_ARI,1999,ARI,NYG,REG,5,1999-10-10,14,3,11,1,1488.522119818981,1491.2256234235151
1999_05_PIT_BUF,1999,BUF,PIT,REG,5,1999-10-10,24,21,3,1,1530.8618118386412,1490.338488521814
1999_05_SD_DET,1999,DET,LAC,REG,5,1999-10-10,10,20,-10,0,1500.5820820860135,1520.3222753911289
1999_05_SF_STL,1999,LA,SF,REG,5,1999-10-10,42,20,22,1,1531.847735704912,1508.7147026545374
1999_05_TB_GB,1999,GB,TB,REG,5,1999-10-10,26,23,3,1,1520.2376552233561,1490.895342414869
1999_06_CAR_SF,1999,SF,CAR,REG,6,1999-10-17,29,31,-2,0,1499.5728684519947,1487.967285588117
1999_06_CLE_JAX,1999,JAX,CLE,REG,6,1999-10-17,24,7,17,1,1544.1266767829843,1434.9628968970187
1999_06_DAL_NYG,1999,NYG,DAL,REG,6,1999-10-18,13,10,3,1,1500.298997430209,1514.4391553870746
1999_06_GB_DEN,1999,DEN,GB,REG,6,1999-10-17,31,10,21,1,1476.7942971557202,1511.7221027283526
1999_06_IND_NYJ,1999,NYJ,IND,REG,6,1999-10-17,13,16,-3,0,1457.361819192897,1510.5896481419954
1999_06_MIA_NE,1999,NE,MIA,REG,6,1999-10-17,30,31,-1,0,1523.910185264436,1529.9065898695321
1999_06_MIN_DET,1999,DET,MIN,REG,6,1999-10-17,25,23,2,1,1510.8863270326608,1479.7040216652563
1999_06_OAK_BUF,1999,BUF,LV,REG,6,1999-10-17,14,20,-6,0,1522.016787683479,1499.398991627204
1999_06_PHI_CHI,1999,CHI,PHI,REG,6,1999-10-17,16,20,-4,0,1501.577230920774,1475.525621574496
1999_06_PIT_CIN,1999,CIN,PIT,REG,6,1999-10-17,3,17,-14,0,1457.9578989918625,1500.9638375920854
1999_06_SEA_SD,1999,LAC,SEA,REG,6,1999-10-17,13,10,3,1,1530.3658329463515,1508.7653637948295
1999_06_STL_ATL,1999,ATL,LA,REG,6,1999-10-17,13,41,-28,0,1455.1485586007052,1543.692999100439
1999_06_TEN_NO,1999,NO,TEN,REG,6,1999-10-17,21,24,-3,0,1470.3865495186283,1542.8993204426017
1999_06_WAS_ARI,1999,ARI,WAS,REG,6,1999-10-17,10,24,-14,0,1477.6021787124544,1531.4947132302404
1999_07_ATL_PIT,1999,PIT,ATL,REG,7,1999-10-25,13,9,4,1,1512.2749167103977,1443.8374794823928
1999_07_BUF_SEA,1999,SEA,BUF,REG,7,1999-10-24,26,16,10,1,1518.3841419938203,1512.398009484488
1999_07_CHI_TB,1999,TB,CHI,REG,7,1999-10-24,6,3,3,1,1500.587989785152,1491.8845835504908
1999_07_CIN_IND,1999,IND,CIN,REG,7,1999-10-24,31,10,21,1,1522.09302928875,1446.454517845108
1999_07_CLE_STL,1999,LA,CLE,REG,7,1999-10-24,34,3,31,1,1556.7241870346961,1421.9317089627616
1999_07_DEN_NE,1999,NE,DEN,REG,7,1999-10-24,24,23,1,1,1535.25803722961,1465.4464451905462
1999_07_DET_CAR,1999,CAR,DET,REG,7,1999-10-24,9,24,-15,0,1477.308577738778,1521.5450348819998
1999_07_GB_SD,1999,LAC,GB,REG,7,1999-10-24,3,31,-28,0,1520.9019281740766,1521.1860075006275
